Car Name,Price,Year,Mileage,Dealer
LAMBORGHINI HURACAN PERFORMANTE SPYDER LP 640-4 5.2 AUTOMATIC 2 DOOR CONVERTIBLE AT LAMBORGHINI CHELMSFORD,"£214,995",2019,"18,749",GRANGE LAMBORGHINI CHELMSFORD
LAMBORGHINI HURACAN LP 610-4 FOR SALE,"£139,995",2015,"26,137",AMARI SUPERCARS
LAMBORGHINI HURACAN SPYDER LP 610-4 FOR SALE,"£149,995",2016,"22,706",AMARI SUPERCARS
LAMBORGHINI HURACAN 5.2 V10 LP 640-4 EVO SPYDER LDF 4WD EURO 6 2DR,"£204,990",2020,"12,226",REDLINE SPECIALIST CARS
LAMBORGHINI HURACAN LP 610-4 FOR SALE,"£154,995",2015,"7,953",AMARI SUPERCARS
LAMBORGHINI DIABLO 5.7 2DR,"£469,990",1993,275,REDLINE SPECIALIST CARS
LAMBORGHINI HURACAN 5.2 V10 LP 640-2 STO LDF RWD EURO 6 2DR,"£349,950",2022,85,REDLINE SPECIALIST CARS
LAMBORGHINI HURACAN EVO LP 610-2 FOR SALE,"£194,995",2020,"2,841",AMARI SUPERCARS
2021/21 LAMBORGHINI URUS V8,"£226,950",2021,"7,000",TOM HARTLEY
LAMBORGHINI AVENTADOR ROADSTER LP 700-4 FOR SALE,"£209,995",2015,"9,927",AMARI SUPERCARS
LAMBORGHINI URUS FOR SALE,"£214,995",2019,"16,677",AMARI SUPERCARS
LAMBORGHINI HURACAN PERFORMANTE FOR SALE,"£229,995",2018,"5,987",AMARI SUPERCARS
LAMBORGHINI URUS FOR SALE,"£235,995",2020,"8,771",AMARI SUPERCARS
LAMBORGHINI HURACAN 5.2 V10 LP 610-4 LDF 4WD EURO 6 2DR,"£139,950",2016,"25,989",REDLINE SPECIALIST CARS
2016 LAMBORGHINI HURACAN LP610-4 SPYDER ULEZ,"£162,500",2016,"12,223",SCUDERIA PRESTIGE
2019 LAMBORGHINI HURACAN EVO,"£194,950",2019,"5,150",SUPERVETTURA
LAMBORGHINI HURACAN 5.2 V10 LP 610-4 SPYDER LDF 4WD EURO 6 2DR,"£156,990",2016,"15,541",REDLINE SPECIALIST CARS
LAMBORGHINI URUS 4.0 V8 BITURBO AUTO 4WD EURO 6 5DR,"£222,990",2021,"17,461",REDLINE SPECIALIST CARS
LAMBORGHINI URUS FOR SALE,"£254,995",2020,"14,802",AMARI SUPERCARS
LAMBORGHINI AVENTADOR 6.5 V12 LP 740-4 S ISR 4WD EURO 6 2DR,"£234,950",2017,"14,425",REDLINE SPECIALIST CARS
LAMBORGHINI AVENTADOR S LP 740-4 FOR SALE,"£254,995",2017,"4,980",AMARI SUPERCARS
2018 LAMBORGHINI HURACAN LP640-4 PERFORMANTE SPYDER,"£239,950",2018,"7,731",SCUDERIA PRESTIGE
2022 LAMBORGHINI HURACAN LP 610-2 EVO SPYDER,"£250,995",2022,651,SCUDERIA PRESTIGE
MCLAREN 720S SPIDER V8 SSG MSO ABYSS BLACK PAINT CARBON INTERIOR 1 AND 2 AND VENTS EXTERIOR CARBON 4.0 AUTOMATIC 2 DOOR CONVERTIBLE AVAILABLE FROM LAMBORGHINI TUNBRIDGE WELLS,"£182,900",2019,"12,550",GRANGE LAMBORGHINI TUNBRIDGE WELLS
BENTLEY CONTINENTAL GT 4.0 V8 - MULLINER DRIVING SPECIFICATION AUTOMATIC 2 DOOR COUPÃ© AVAILABLE FROM LAMBORGHINI TUNBRIDGE WELLS,"£169,000",2021,"4,470",GRANGE LAMBORGHINI TUNBRIDGE WELLS
BENTLEY CONTINENTAL GTC 6.0 W12 - MULLINER DRIVING SPECIFICATION AUTOMATIC 2 DOOR CONVERTIBLE AVAILABLE FROM LAMBORGHINI TUNBRIDGE WELLS,"£159,995",2020,"9,179",GRANGE LAMBORGHINI TUNBRIDGE WELLS
MCLAREN GT V8 SSG PANORAMIC PRIVACY GLASS ROOF SPORTS EXHAUST 4.0 AUTOMATIC 2 DOOR COUPÃ© AVAILABLE FROM LAMBORGHINI TUNBRIDGE WELLS,"£159,900",2022,"1,950",GRANGE LAMBORGHINI TUNBRIDGE WELLS
"MCLAREN 720S V8 2DR SSG SPORTS EXHAUST, CARBON FRONT AIR INTAKES, CARBON INT PACKS 1 AND 2 4.0 AUTOMATIC COUPÃ© AVAILABLE FROM LAMBORGHINI TUNBRIDGE WELLS","£145,900",2018,"9,650",GRANGE LAMBORGHINI TUNBRIDGE WELLS
BENTLEY CONTINENTAL GT 6.0 W12 - MULLINER DRIVING SPECIFICATION AUTOMATIC 2 DOOR COUPÃ© AVAILABLE FROM LAMBORGHINI TUNBRIDGE WELLS,"£128,950",2018,"28,690",GRANGE LAMBORGHINI TUNBRIDGE WELLS
BENTLEY CONTINENTAL GT 6.0 W12 - MULLINER DRIVING SPECIFICATION WITH BLACK AND POLISHED EDGE ALLOY WHEELS AUTOMATIC 2 DOOR COUPÃ© AVAILABLE FROM LAMBORGHINI TUNBRIDGE WELLS,"£118,990",2018,"39,000",GRANGE LAMBORGHINI TUNBRIDGE WELLS
2024 BENTLEY BENTAYGA S BY ONYX CONCEPT,"د.إ1,525,000",2024,30,DOURADO LUXURY CAR
2018 PORSCHE 911 (991.2) GT2 RS WEISSACH,"£309,995",2018,"6,050",EUROPEAN PRESTIGE
FERRARI DINO 246 GTS,"£499,950",1973,"18,175",JOE MACARI
2024 PORSCHE 911 (992.1) GT3 RS WEISSACH,"£259,995",2024,"2,722",EUROPEAN PRESTIGE
2006 PORSCHE CARRERA GT,"£1,600,000",2006,"3,395",EUROPEAN PRESTIGE
2021 PORSCHE 911 (992.1) GT3,"£164,995",2021,"4,338",EUROPEAN PRESTIGE
2010/10 PORSCHE 911 997.2 GT3 RS,"£219,950",2010,"17,500",TOM HARTLEY
PORSCHE 911 GT3 RS (992),"£229,950",2023,"2,240",ROMANS INTERNATIONAL
PORSCHE 911 S/T,"£389,950",2025,724,ROMANS INTERNATIONAL
PORSCHE 911 992 GT3 TOURING ULEZ,"£164,990",2022,"7,900",VAS VEHICLE SOLUTIONS LTD
PORSCHE 911 (991.2) GT3 RS – WEISSACH PACKAGE – PORSCHE WARRANTY 09/27,"£174,990",2018,"12,100",SIMON FURLONGER
PORSCHE 911 992 GT3 RS WEISSACH FOR SALE,"£249,995",2024,"2,151",AMARI SUPERCARS
2022/72 PORSCHE 911 (992) GT3 TOURING,"£164,950",2022,"6,000",TOM HARTLEY
PORSCHE 911 GT3 TOURING (992),"£184,950",2024,"2,480",ROMANS INTERNATIONAL
PORSCHE 911 GT3 RS (992),"£224,950",2023,"3,559",ROMANS INTERNATIONAL
2024 PORSCHE 911 (992.1) GT3 RS WEISSACH,"£254,995",2024,"4,009",EUROPEAN PRESTIGE
2018/18 PORSCHE 911 GT2 RS WEISSACH PACKAGE,"£289,950",2018,"14,000",TOM HARTLEY
PORSCHE 911 (997) GT3 RS 4L,POA,2011,"14,036",THE OCTANE COLLECTION
PORSCHE 911 GT3 TOURING (992),"£179,950",2022,"4,363",ROMANS INTERNATIONAL
PORSCHE 911 GT3 TOURING (992.2),"£254,950",2025,29,ROMANS INTERNATIONAL
PORSCHE 1968 SWB PORSCHE 911 CARRERA RINDT RSR EVOCATION FOR SALE,"£249,995",1968,138,AMARI SUPERCARS
2015 PORSCHE 918 SPYDER WEISSACH,"£1,750,000",2015,24,EUROPEAN PRESTIGE
2004 PORSCHE CARRERA GT,"£1,490,000",2004,"4,512",EUROPEAN PRESTIGE
PORSCHE 911 991 GT3 ULEZ,"£119,990",2017,"28,900",VAS VEHICLE SOLUTIONS LTD
PORSCHE 911 991 GT3 ULEZ,"£121,990",2017,"19,800",VAS VEHICLE SOLUTIONS LTD
PORSCHE 9M 911,"£229,995",1982,"10,052",THE OCTANE COLLECTION
PORSCHE 911 GT3 (992),"£147,950",2021,"11,438",ROMANS INTERNATIONAL
PORSCHE 911 GT3 (991.2),"£129,950",2018,"5,338",ROMANS INTERNATIONAL
2024 PORSCHE 911 (992) S/T,"£399,995",2024,901,EUROPEAN PRESTIGE
PORSCHE 911 GT3 TOURING (992),"£179,950",2022,"7,450",ROMANS INTERNATIONAL
PORSCHE 911 RSR IROC,POA,1973,"22,900",THE OCTANE COLLECTION
PORSCHE 911 GT3 RS (992),"£277,950",2023,636,ROMANS INTERNATIONAL
PORSCHE 911 GT3 (992),"£176,950",2024,"5,861",ROMANS INTERNATIONAL
PORSCHE 911 GT3 TOURING (992),"£172,950",2022,"4,153",ROMANS INTERNATIONAL
2017/67 PORSCHE 911 930 TURBO 3.0,POA,2017,"88,500",TOM HARTLEY
PORSCHE 911 GT3 TOURING (992),"£172,950",2022,"5,244",ROMANS INTERNATIONAL
PORSCHE 911 (991.2) GT3 CLUBSPORT 4.0 PDK,"£124,950",2017,"18,430",TOP 555
PORSCHE 911 GT2,"£99,950",2003,"40,160",TOP 555
2021 FERRARI 812 SUPERFAST,"د.إ1,350,000",2021,"2,948",DOURADO LUXURY CAR
PORSCHE 911 991.2 GT3 TOURING MANUAL FOR SALE,"£179,995",2018,"1,095",AMARI SUPERCARS
2025 ROLLS ROYCE CULLINAN SERIES II,"د.إ1,950,000",2025,53,DOURADO LUXURY CAR
PORSCHE 911 GT3 RS (992),"£289,950",2025,98,ROMANS INTERNATIONAL
PORSCHE 911 GT2,"£149,990",2008,"24,000",VAS VEHICLE SOLUTIONS LTD
1960/~ PORSCHE 356B T5 1600 SUPER 90,"£199,950",1960,"28,500",TOM HARTLEY
PORSCHE 911 SPEEDSTER ULEZ,"£262,990",2019,"1,500",VAS VEHICLE SOLUTIONS LTD
PORSCHE 911 S/T,POA,2024,306,ROMANS INTERNATIONAL
PORSCHE 911 996 GT3 RS,"£169,990",2004,"33,000",VAS VEHICLE SOLUTIONS LTD
2010 PORSCHE 911 (997.2) GT3 RS,"£209,995",2010,"18,508",EUROPEAN PRESTIGE
2018 PORSCHE 911 GT2 RS (991),"£304,950",2018,"7,500",SUPERVETTURA
PORSCHE 911 TARGA,"£249,995",1983,540,THE OCTANE COLLECTION
PORSCHE 993 GT2,POA,1995,"74,900",TOP 555
PORSCHE 911 SPORT CLASSIC,"£295,000",2023,695,ROMANS INTERNATIONAL
PORSCHE 911 (997.2) GT3 RS,"£224,995",2010,"15,991",THE OCTANE COLLECTION
PORSCHE 911 (992) GT3 RS – WEISSACH PACKAGE,"£289,990",2024,270,SIMON FURLONGER
FERRARI DINO 246 GT,"£449,990",1972,"52,000",SIMON FURLONGER
PORSCHE CARRERA GT – UK SUPPLIED,"£1,499,990",2005,"7,460",SIMON FURLONGER
BUGATTI EB110 SUPERSPORT PROTOTYPE,POA,1993,"7,850",SIMON FURLONGER
PORSCHE 911 S/T,"£419,950",2025,40,ROMANS INTERNATIONAL
PORSCHE CARRERA GT,"£1,399,995",2004,"18,502",THE OCTANE COLLECTION
PORSCHE 911 (930) TURBO CABRIOLET 3.3,"£119,950",1988,"1,09,700",TOP 555
PORSCHE 911 (991.2) GT3 CLUBSPORT 4.0 PDK,"£147,950",2017,798,TOP 555
PORSCHE 911 SPEEDSTER 4.0 - MANUAL ( CAR NUMBER 1498 OF 1948 EVER PRODUCED),"£264,950",2019,"1,950",TOP 555
PORSCHE 911 GT3 (991.2),"£114,950",2017,"13,373",ROMANS INTERNATIONAL
PORSCHE 911 GT3 (992),"£154,950",2022,"3,851",ROMANS INTERNATIONAL
2022 PORSCHE 911 (992) GT3,"£149,995",2022,"8,141",EUROPEAN PRESTIGE
2019 ROLLS ROYCE CULLINAN BY ONYX CONCEPT,POA,2019,671,DOURADO LUXURY CAR
FERRARI DINO 246 GT LHD,"£394,950",1972,"40,650",JOE MACARI
PORSCHE 911 GT3 TOURING (992),"£164,950",2022,"1,465",ROMANS INTERNATIONAL
PORSCHE 911 GT3 RS (992),"£264,950",2023,"5,544",ROMANS INTERNATIONAL
PORSCHE 911 RSR TRIBUTE,"£199,995",1978,"6,982",THE OCTANE COLLECTION
PORSCHE 911 (991.2) GT3 RS,"£189,995",2019,"6,750",THE OCTANE COLLECTION
PORSCHE 911 (991.2) GT3 CS,"£124,995",2017,"11,335",THE OCTANE COLLECTION
PORSCHE 911 992 GT3 RS FOR SALE,"£285,995",2023,771,AMARI SUPERCARS
PORSCHE 911 (997) GT3 RS 4L,"£449,995",2011,"4,630",THE OCTANE COLLECTION
FERRARI DINO 246 GT,"£394,950",1972,"40,650",JOE MACARI
PORSCHE 911R BY EB MOTORSPORT,"£224,950",1967,"4,200",JOE MACARI
2016 PORSCHE 911 (991) GT3 RS,"£144,995",2016,"4,235",EUROPEAN PRESTIGE
2024 LAMBORGHINI URUS S,"د.إ1,350,000",2024,34,DOURADO LUXURY CAR
2014 PORSCHE 911 (991) GT3,"£87,995",2014,"25,163",EUROPEAN PRESTIGE
PORSCHE 911 991.2 GT2 RS WEISSACH FOR SALE,"£324,995",2018,"2,868",AMARI SUPERCARS
PORSCHE S 356 FOR SALE,POA,1962,"75,831",AMARI SUPERCARS
PORSCHE 911 RINDT DESIGN 3.2 LITRE CARRERA CLASSIC COUPE,"£199,950",1974,"1,000",SLADES GARAGE
1990 PORSCHE 911 TARGA REIMAGINED BY SINGER,"£995,000",1990,"5,330",TOM HARTLEY JNR
2006 PORSCHE CARRERA GT,POA,2006,"4,794",TOM HARTLEY JNR
1955 PORSCHE 356 PRE-A SUPER SPEEDSTER,POA,1955,0,TOM HARTLEY JNR
2025 ROLLS ROYCE CULLINAN SERIES II,"د.إ2,070,000",2025,37,DOURADO LUXURY CAR
2024 BENTLEY BENTAYGA S ONYX CONCEPT 1 OF 5,"د.إ1,575,000",2024,66,DOURADO LUXURY CAR
2022 FERRARI SF90 SPIDER ASSETTO FIORANO PACKAGE,"د.إ2,308,000",2022,"1,837",DOURADO LUXURY CAR
1989/G PORSCHE 911 9M11S BY NINEMEISTER,"£269,950",1989,"1,600",TOM HARTLEY
2024 ROLLS ROYCE CULLINAN ONYX CONCEPT,"د.إ2,450,000",2024,40,DOURADO LUXURY CAR
2024 ROLLS ROYCE CULLINAN ONYX CONCEPT,"د.إ2,350,000",2024,50,DOURADO LUXURY CAR
2024 ROLLS ROYCE CULLINAN ONYX CONCEPT,"د.إ2,475,000",2024,38,DOURADO LUXURY CAR
2023 ROLLS ROYCE CULLINAN BLACK BADGE ONYX CONCEPT,"د.إ2,450,000",2023,35,DOURADO LUXURY CAR
2024 ROLLS ROYCE CULLINAN ONYX CONCEPT,"د.إ2,350,000",2024,34,DOURADO LUXURY CAR
2020 ROLLS ROYCE DAWN ONYX CONCEPT 1 OF 1,"د.إ2,700,000",2020,"3,250",DOURADO LUXURY CAR
2020 ROLLS ROYCE DAWN ONYX CONCEPT,"د.إ2,250,000",2020,"8,686",DOURADO LUXURY CAR
2022 ROLLS ROYCE DAWN ONYX CONCEPT,"د.إ2,750,000",2022,726,DOURADO LUXURY CAR
2023 ROLLS ROYCE WRAITH ONYX CONCEPT,"د.إ3,000,000",2023,111,DOURADO LUXURY CAR
2020 ROLLS ROYCE WRAITH BLACK BADGE ONYX CONCEPT,"د.إ2,150,000",2020,"9,887",DOURADO LUXURY CAR
2020 ROLLS ROYCE WRAITH ONYX CONCEPT,"د.إ2,150,000",2020,"7,535",DOURADO LUXURY CAR
2020 ROLLS ROYCE WRAITH ONYX CONCEPT 1 OF 1,"د.إ2,150,000",2020,"5,833",DOURADO LUXURY CAR
2022 ROLLS-ROYCE CULLINAN BLACK BADGE NOVITEC SPOFEC KIT,"د.إ2,050,000",2022,118,DOURADO LUXURY CAR
2022 ROLLS-ROYCE CULLINAN BLACK BADGE NOVITEC SPOFEC KIT,"د.إ2,050,000",2022,35,DOURADO LUXURY CAR
2014 ROLLS ROYCE PHANTOM EXTENDED,"د.إ950,000",2014,"10,965",DOURADO LUXURY CAR
2020 ROLLS ROYCE GHOST,"د.إ860,000",2020,"4,432",DOURADO LUXURY CAR
2019 MERCEDES-BENZ AMG GT R PRO,"د.إ740,000",2019,"4,698",DOURADO LUXURY CAR
2022 MERCEDES-BENZ AMG GT BLACK SERIES LIMITED-EDITION,"د.إ1,950,000",2022,16,DOURADO LUXURY CAR
2023 PORSCHE 911 TURBO S CABRIOLET,"د.إ1,100,000",2023,65,DOURADO LUXURY CAR
2023 PORSCHE 911 TURBO S CABRIOLET,"د.إ1,100,000",31,19,DOURADO LUXURY CAR
2023 PORSCHE CAYENNE TURBO GT COUPE,"د.إ750,000",2023,6,DOURADO LUXURY CAR
2023 PORSCHE CAYENNE TURBO GT COUPE,"د.إ730,000",2023,21,DOURADO LUXURY CAR
2019 PORSCHE 911 GT2 RS WEISSACH PACKAGE,"د.إ2,065,000",2019,66,DOURADO LUXURY CAR
2019 PORSCHE 911 GT3 RS WEISSACH RS PACKAGE,"د.إ835,000",2019,"8,641",DOURADO LUXURY CAR
2022 FERRARI 812 GTS,"د.إ2,000,000",2022,390,DOURADO LUXURY CAR
2021 LAMBORGHINI URUS CAPSULE NOVITEC EDITION,"د.إ1,380,000",2021,45,DOURADO LUXURY CAR
2023 LAMBORGHINI URUS NOVITEC EDITION,"د.إ1,350,000",2023,"2,495",DOURADO LUXURY CAR
2022 FERRARI 812 SUPERFAST 8XX BY ONYX CONCEPT 1 OF 5,"د.إ2,100,000",2022,396,DOURADO LUXURY CAR
2023 FERRARI 812 GTS 8XX BY ONYX CONCEPT,"د.إ2,550,000",2023,63,DOURADO LUXURY CAR
2023 FERRARI 296 GTB,"د.إ1,050,000",2023,"4,216",DOURADO LUXURY CAR
2022 FERRARI 812 GTS,"د.إ2,150,000",2022,518,DOURADO LUXURY CAR
2022 FERRARI 812 GTS,"د.إ2,000,000",2022,305,DOURADO LUXURY CAR
2022 FERRARI 812 GTS,"د.إ1,900,000",2022,"2,059",DOURADO LUXURY CAR
2023 FERRARI ROMA,"د.إ1,015,000",2023,43,DOURADO LUXURY CAR
2022 FERRARI ROMA,"د.إ1,015,000",2022,27,DOURADO LUXURY CAR
2020 FERRARI 488 PISTA PILOTI 1 OF 40 LIMITED-EDITION,"د.إ3,100,000",2020,685,DOURADO LUXURY CAR
2020 FERRARI 488 PISTA SPIDER,"د.إ2,050,000",2020,"8,026",DOURADO LUXURY CAR
2023 BENTLEY CONTINENTAL GTX III ATHEA BY ONYX CONCEPT 1 OF 1,"د.إ1,950,000",2023,86,DOURADO LUXURY CAR
2024 BENTLEY CONTINENTAL GTX II ONYX CONCEPT,"د.إ1,730,000",2024,41,DOURADO LUXURY CAR
2024 BENTLEY CONTINENTAL GTX II ONYX CONCEPT,"د.إ1,650,000",2024,32,DOURADO LUXURY CAR
2023 BENTLEY BENTAYGA,"د.إ1,200,000",2023,24,DOURADO LUXURY CAR
"2023 BENTLEY FLYING SPUR | EXPORT PRICE AED 1,250,000","د.إ1,250,000",2023,21,DOURADO LUXURY CAR
2023 BENTLEY CONTINENTAL GTC SPEED,"د.إ1,565,000",2023,35,DOURADO LUXURY CAR
2023 BENTLEY CONTINENTAL GTC,"د.إ1,200,000",2023,31,DOURADO LUXURY CAR
2018/67 PORSCHE 911 GT3 RS,"£164,950",2018,"12,000",TOM HARTLEY
PORSCHE 911 992 GT3 FOR SALE,"£157,995",2022,"10,478",AMARI SUPERCARS
2022/72 PORSCHE 911 GT3 TOURING (992),"£174,950",2022,"3,700",TOM HARTLEY
2017/67 PORSCHE 911 GT3 CLUBSPORT,"£124,950",2017,"9,800",TOM HARTLEY
PORSCHE 911 992 GT3 ULEZ,"£179,990",2023,600,VAS VEHICLE SOLUTIONS LTD
PORSCHE 911 992 GT3 RS FOR SALE,"£334,995",2023,467,AMARI SUPERCARS
PORSCHE 911 993 GT2 LHD,"£1,399,950",1997,"29,200",JOE MACARI
PORSCHE 962C KREMER,"£1,174,950",1988,0,JOE MACARI
2024/73 PORSCHE 911 GT3 RS CLUBSPORT WEISSACH,"£334,950",2024,"1,600",TOM HARTLEY
PORSCHE 911 T 992 DAKAR ULEZ,"£198,990",2023,800,VAS VEHICLE SOLUTIONS LTD
PORSCHE 911 GT3 RS PDK,"£141,990",2015,"17,500",VAS VEHICLE SOLUTIONS LTD
PORSCHE 911 991 GT3 ULEZ,"£142,890",2017,"4,700",VAS VEHICLE SOLUTIONS LTD
PORSCHE 911 991 GT3 RS ULEZ,"£214,990",2019,"5,300",VAS VEHICLE SOLUTIONS LTD
PORSCHE 911 SPEEDSTER ULEZ,POA,2019,"1,500",VAS VEHICLE SOLUTIONS LTD
PORSCHE 911 GT3 TOURING (992),"£194,950",2022,"1,959",ROMANS INTERNATIONAL
PORSCHE 911 DAKAR,POA,2023,17,ROMANS INTERNATIONAL
PORSCHE 911 R,"£399,950",2016,"6,472",ROMANS INTERNATIONAL
PORSCHE 918 SPYDER,POA,2015,"9,167",ROMANS INTERNATIONAL
PORSCHE 911 GT3RS 991.1 LHD,"£134,900",2016,"11,130",GVE LONDON
PORSCHE 911 (991.2) GT3 RS WEISSACH,"£229,950",2019,"4,974",ROMANS INTERNATIONAL
2021/21 PORSCHE 911 GT3 CLUBSPORT,"£194,950",2021,"5,000",TOM HARTLEY
2008/08 PORSCHE 911 GT2,"£159,950",2008,"16,000",TOM HARTLEY
2021/71 PORSCHE 911 GT3 TOURING PAINT TO SAMPLE,"£224,950",2021,"3,000",TOM HARTLEY
1991/H PORSCHE 911 9M11 RS BY NINEMEISTER,"£199,950",1991,"1,10,000",TOM HARTLEY
1977/~ PORSCHE 911 930 TURBO 3.0,"£149,950",1977,"88,500",TOM HARTLEY
PORSCHE 911 (992) GT3 TOURING,POA,2022,29,ROMANS INTERNATIONAL
PORSCHE 911 (997.2) GT3 RS MR,"£174,995",2010,"37,795",THE OCTANE COLLECTION
PORSCHE CARRERA GT,POA,2004,"10,834",THE OCTANE COLLECTION
PORSCHE 991.2 GT3 CLUBSPORT,"£142,995",2017,"14,750",THE OCTANE COLLECTION
PORSCHE 911 CARRERA 2.7 MFI,"£229,995",1974,"1,08,832",THE OCTANE COLLECTION
PORSCHE 911 (997.2) GT3 RS,"£169,995",2010,"28,452",THE OCTANE COLLECTION
PORSCHE 911 GT2 CLUBSPORT,"£119,995",2001,"53,540",THE OCTANE COLLECTION
PORSCHE 911 (964) CARRERA RS,"£239,995",1992,"72,310",THE OCTANE COLLECTION
PORSCHE 911 (991.2) GT3 RS,"£234,995",2018,"2,912",THE OCTANE COLLECTION
PORSCHE 911 (964) CARRERA CUP,"£204,995",1990,"2,379",THE OCTANE COLLECTION
PORSCHE 911 3.0 RSR,"£299,995",1974,"49,572",THE OCTANE COLLECTION
PORSCHE 911 (996) GT3 RS,"£164,995",2004,"27,250",THE OCTANE COLLECTION
PORSCHE 911 TARGA,"£149,995",1984,"1,13,342",THE SUPERCAR ROOMS
PORSCHE 911,"£139,995",1981,"1,27,913",THE SUPERCAR ROOMS
1990 PORSCHE 911 CARRERA 4 70TH EDITION,"£176,950",1990,"1,07,853",SCUDERIA PRESTIGE
MERCEDES-BENZ MCLAREN SLR FOR SALE,"£244,995",2006,"17,081",AMARI SUPERCARS
PORSCHE 911 (991.2) SPEEDSTER,"£334,950",2019,79,ROMANS INTERNATIONAL
2019/69 PORSCHE 911 GT3 RS WEISSACH PACKAGE,"£219,950",2019,"5,000",TOM HARTLEY
2011/11 PORSCHE 911 SPEEDSTER,"£264,950",2011,"9,000",TOM HARTLEY
2018/18 PORSCHE 911 GT2 RS WEISSACH,"£339,950",2018,"6,800",TOM HARTLEY
2018/18 PORSCHE 911 GT2 RS WEISSACH,"£349,950",2018,"5,500",TOM HARTLEY
2018/68 PORSCHE GT2 RS WEISSACH LHD,"£349,950",2018,500,TOM HARTLEY
ASTON MARTIN VALKYRIE,POA,2024,50,JOE MACARI
2015 ASTON MARTIN DB9 GT BOND EDITION,POA,2015,"2,124",EUROPEAN PRESTIGE
ASTON MARTIN DBX 707,"£127,950",2022,"20,500",ROMANS INTERNATIONAL
2005/05 ASTON MARTIN VANQUISH S,POA,2005,"19,900",TOM HARTLEY
ASTON MARTIN V12 VANTAGE ROADSTER,"£214,950",2024,980,ROMANS INTERNATIONAL
ASTON MARTIN VANTAGE GT8,"£129,950",2016,"4,323",ROMANS INTERNATIONAL
ASTON MARTIN DBS V12 BITURBO SUPERLEGGERA ULEZ,"£129,990",2020,"9,000",VAS VEHICLE SOLUTIONS LTD
2018/68 ASTON MARTIN DBS SUPERLEGGERA,"£119,950",2018,"17,000",TOM HARTLEY
ASTON MARTIN VANTAGE GT12,"£284,950",2016,"7,521",ROMANS INTERNATIONAL
2020 ASTON MARTIN DBS SUPERLEGGERA,"£124,995",2020,"19,342",EUROPEAN PRESTIGE
ASTON MARTIN VANQUISH V12,"£349,950",2024,"2,934",ROMANS INTERNATIONAL
ASTON MARTIN VANQUISH ZAGATO,"£279,950",2017,"2,234",ROMANS INTERNATIONAL
2025/74 ASTON MARTIN VANQUISH V12,"£369,950",2025,100,TOM HARTLEY
ASTON MARTIN DBX V8 707,POA,2025,"1,759",SCUDERIA PRESTIGE
ASTON MARTIN DBS V12 BITURBO SUPERLEGGERA,"£129,950",2019,"16,532",SCUDERIA PRESTIGE
ASTON MARTIN DB11 V12,"£68,950",2016,"30,323",SCUDERIA PRESTIGE
ASTON MARTIN VANQUISH ZAGATO,POA,2017,479,ROMANS INTERNATIONAL
ASTON MARTIN DBX V8 ULEZ,"£114,990",2023,"19,000",VAS VEHICLE SOLUTIONS LTD
ASTON MARTIN DB11 V8 VOLANTE 4.0 - 2022 MODEL (528 BHP),"£106,050",2021,"2,960",TOP 555
1979/~ ASTON MARTIN V8 VOLANTE OSCAR INDIA EX-ROGER TAYLOR,"£149,950",1979,"1,03,000",TOM HARTLEY
ASTON MARTIN DBS SUPERLEGGERA,"£139,950",2020,"5,335",ROMANS INTERNATIONAL
ASTON MARTIN VANTAGE V8 ULEZ,"£69,990",2019,"35,000",VAS VEHICLE SOLUTIONS LTD
ASTON MARTIN VANQUISH V12 ZAGATO VOLANTE - CAR NO.52 OF 99 PRODUCED WORLDWIDE,"£299,950",2017,135,TOP 555
ASTON MARTIN DB11 V12 FOR SALE,"£99,995",2022,"10,582",AMARI SUPERCARS
ASTON MARTIN DBS V12,POA,2010,"20,651",ROMANS INTERNATIONAL
ASTON MARTIN VANTAGE V12 - CAR NO.28 OF ONLY 333 CARS WORLDWIDE,"£167,950",2022,"7,120",TOP 555
ASTON MARTIN VALKYRIE,POA,2023,107,ROMANS INTERNATIONAL
ASTON MARTIN V12 SPEEDSTER,POA,2021,612,THE OCTANE COLLECTION
ASTON MARTIN VANTAGE V12 ULEZ,"£79,990",2012,"15,700",VAS VEHICLE SOLUTIONS LTD
LAMBORGHINI GALLARDO SUPERLEGGERA ULEZ,"£114,990",2008,"31,000",VAS VEHICLE SOLUTIONS LTD
ASTON MARTIN VANTAGE V12 ULEZ,"£59,990",2012,"47,000",VAS VEHICLE SOLUTIONS LTD
ASTON MARTIN VANQUISH S 2 + 2,"£94,990",2004,"26,000",VAS VEHICLE SOLUTIONS LTD
ASTON MARTIN VANQUISH V12 ZAGATO,"£324,990",2018,69,VAS VEHICLE SOLUTIONS LTD
2019/68 ASTON MARTIN VANTAGE V600 ROADSTER 1 OF 7,"£599,950",2019,"2,500",TOM HARTLEY
1988/F ASTON MARTIN V8 VOLANTE EFI,"£224,950",1988,"25,000",TOM HARTLEY
2025 ASTON MARTIN VANTAGE,"£179,995",2025,"1,818",EUROPEAN PRESTIGE
ASTON MARTIN VANTAGE S V12,"£89,950",2016,"4,394",ROMANS INTERNATIONAL
ASTON MARTIN DB11 V8,"£96,950",2022,"7,929",ROMANS INTERNATIONAL
1994 ASTON MARTIN VANTAGE V600,"£209,950",1994,"13,500",SUPERVETTURA
2018 ASTON MARTIN V600 COUPE,"£600,000",2018,"1,275",SUPERVETTURA
